aa;afar
ab ;abjaso(oabjasiano)
ae ;avéstico
af ;afrikaans
ak ;akano
am ;amárico
an ;aragonés
ar ;árabe
as ;asamés
av ;avar
ay ;aimara
az ;azerí
ba ;baskir
be ;bielorruso
bg ;búlgaro
bh ;bhojpurí
bi ;bislama
bm ;bambara
bn ;bengalí
bo ;tibetano
br ;bretón
bs ;bosnio
ca ;catalán
ce ;checheno
ch ;chamorro
co ;corso
cr ;cree
cs ;checo
cu ;eslavoeclesiásticoantiguo
cv ;chuvasio
cy ;galés
da ;danés
de ;alemán
dv ;maldivo
dz ;dzongkha
ee ;ewe
el ;griego(moderno)
en ;inglés
eo ;esperanto
es ;español(ocastellano)
et ;estonio
eu ;vascuence(oeuskera)
fa ;persa
ff ;fula
fi ;finés(ofinlandés)
fj ;fijiano(ofidji)
fo ;feroés
fr ;francés
fy ;frisón(ofrisio)
ga ;irlandés(ogaélico)
gd ;gaélicoescocés
gl ;gallego
gn ;guaraní
gu ;guyaratí(oguyaratí)
gv ;manés(gaélicomanésodeIsladeMan)
ha ;hausa
he ;hebreo
hi ;hindi(ohindú)
ho ;hirimotu
hr ;croata
ht ;haitiano
hu ;húngaro
hy ;armenio
hz ;herero
ia ;interlingua
id ;indonesio
ie ;occidental
ig ;igbo
ii ;yideSichuán
ik ;inupiaq
io ;ido
is ;islandés
it ;italiano
iu ;inuktitut
ja ;japonés
jv ;javanés
ka ;georgiano
kg ;kongo
ki ;kikuyu
kj ;kuanyama
kk ;kazajo(okazajio)
kl ;groenlandés(okalaallisut)
km ;camboyano(ojemer)
kn ;canarés
ko ;coreano
kr ;kanuri
ks ;cachemiro
ku ;kurdo
kv ;komi
kw ;córnico
ky ;kirguís
la ;latín
lb ;luxemburgués
lg ;luganda
li ;limburgués
ln ;lingala
lo ;lao
lt ;lituano
lu ;luba-katanga
lv ;letón
mg ;malgache(omalagasy)
mh ;marshalés
mi ;maorí
mk ;macedonio
ml ;malayalam
mn ;mongol
mo ;moldavo
mr ;maratí
ms ;malayo
mt ;maltés
my ;birmano
na ;nauruano
nb ;noruegobokmål
nd ;ndebeledelnorte
ne ;nepalí
ng ;ndonga
nl ;neerlandés(uholandés)
nn ;nynorsk
no ;noruego
nr ;ndebeledelsur
nv ;navajo
ny ;chichewa
oc ;occitano
oj ;ojibwa
om ;oromo
or ;oriya
os ;osético
pa ;panyabí(openyabi)
pi ;pali
pl ;polaco
ps ;pastú(opashto)
pt ;portugués
qu ;quechua
rm ;retorrománico
rn ;kirundi
ro ;rumano
ru ;ruso
rw ;ruandés
sa ;sánscrito
sc ;sardo
sd ;sindhi
se ;samiseptentrional
sg ;sango
si ;cingalés
sk ;eslovaco
sl ;esloveno
sm ;samoano
sn ;shona
so ;somalí
sq ;albanés
sr ;serbio
ss ;suazi(swatiosiSwati)
st ;sesotho
su ;sundanés
sv ;sueco
sw ;suajili
ta ;tamil
te ;telugú
tg ;tayiko
th ;tailandés
ti ;tigriña
tk ;turcomano
tl ;tagalo
tn ;setsuana
to ;tongano
tr ;turco
ts ;tsonga
tt ;tártaro
tw ;twi
ty ;tahitiano
ug ;uigur
uk ;ucraniano
ur ;urdu
uz ;uzbeko
ve ;venda
vi ;vietnamita
vo ;volapük
wa ;valón
wo ;wolof
xh ;xhosa
yi ;yídish(oyiddish)
yo ;yoruba
za ;chuan(ozhuang)
zh ;chino
zu ;zulú
